ลำดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,รหัสรับร่วม,รับ,สมัคร,ผ่าน,ยืนยันสิทธิ์,อัตราการแข่งขัน,คะแนนสูงสุด,คะแนนต่ำสุด
820,10020429501201A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,วท.บ. สาขาวิชาสัตวศาสตร์,,Admission 1,Admission1,,,80,38,16,12,1 : 0.48,3083.3333,1816.6667
821,10020429501201A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,วท.บ. สาขาวิชาสัตวศาสตร์,,Admission 2,Admission2,,,80,27,1,1,1 : 0.34,12748.6400,12748.6400
822,10020430210401A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วท.บ. สาขาวิชาเคมีประยุกต์,,Admission 1,Admission1,,,80,7,1,1,1 : 0.09,1839.5833,1839.5833
823,10020430210401A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วท.บ. สาขาวิชาเคมีประยุกต์,,Admission 2,Admission2,,,80,7,2,1,1 : 0.09,10768.4400,10768.4400
824,10020430220201A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,,Admission 1,Admission1,,,80,15,0,0,1 : 0.19,0.0000,0.0000
825,10020430220201A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์,,Admission 2,Admission2,,,80,19,6,4,1 : 0.24,13724.1400,6372.0000
826,10020430300501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,,Admission 1,Admission1,,,40,31,6,5,1 : 0.78,2662.5000,2054.1667
827,10020430300501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,,Admission 2,Admission2,,,40,33,7,6,1 : 0.83,13782.2000,9397.4400
828,10020430300701A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกลและการผลิต,,Admission 1,Admission1,,,30,17,1,1,1 : 0.57,1820.8333,1820.8333
829,10020430300701A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกลและการผลิต,,Admission 2,Admission2,,,30,19,5,4,1 : 0.63,13820.0500,8820.7500
830,10020430301601A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,,Admission 1,Admission1,,,40,26,1,1,1 : 0.65,1895.8333,1895.8333
831,10020430301601A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมไฟฟ้า,,Admission 2,Admission2,,,40,40,10,8,1 : 1,16545.2000,9351.3900
832,10020430302101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา,,Admission 1,Admission1,,,3,23,3,1,1 : 7.67,2204.1667,2204.1667
833,10020430302101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมโยธา,,Admission 2,Admission2,,,2,19,3,3,1 : 9.5,13488.5000,12197.1400
834,10020430302801A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อมเพื่อการพัฒนาอย่างยั่งยืน,,Admission 1,Admission1,,,5,5,0,0,1 : 1,0.0000,0.0000
835,10020430302801A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อมเพื่อการพัฒนาอย่างยั่งยืน,,Admission 2,Admission2,,,5,4,1,1,1 : 0.8,15512.5500,15512.5500
836,10020430303501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ,,Admission 1,Admission1,,,40,14,1,0,1 : 0.35,0.0000,0.0000
837,10020430303501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะวิทยาศาสตร์และวิศวกรรมศาสตร์,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ,,Admission 2,Admission2,,,40,15,1,1,1 : 0.38,12920.5400,12920.5400
838,10020431610101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการเงิน,,Admission 1,Admission1,,,150,6,0,0,1 : 0.04,0.0000,0.0000
839,10020431610101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการเงิน,,Admission 2,Admission2,,,150,2,0,0,1 : 0.01,0.0000,0.0000
840,10020431610201A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการจัดการ,,Admission 1,Admission1,,,150,17,2,2,1 : 0.11,4475.0000,4250.0000
841,10020431610201A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการจัดการ,,Admission 2,Admission2,,,150,11,1,1,1 : 0.07,12491.3400,12491.3400
842,10020431610501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บช.บ.,,Admission 1,Admission1,,,150,45,14,11,1 : 0.3,6333.3333,1366.6667
843,10020431610501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บช.บ.,,Admission 2,Admission2,,,150,36,9,7,1 : 0.24,16537.8000,12534.9000
844,10020431610601A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการตลาด,,Admission 1,Admission1,,,150,17,3,3,1 : 0.11,4812.6667,2987.6667
845,10020431610601A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการตลาด,,Admission 2,Admission2,,,150,11,0,0,1 : 0.07,0.0000,0.0000
846,10020431620101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการจัดการโรงแรมและท่องเที่ยว,,Admission 1,Admission1,,,150,35,8,5,1 : 0.23,6771.0000,3212.6667
847,10020431620101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,บธ.บ. สาขาวิชาการจัดการโรงแรมและท่องเที่ยว,,Admission 2,Admission2,,,150,23,0,0,1 : 0.15,0.0000,0.0000
848,10020431901001A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,น.บ.,,Admission 1,Admission1,,,150,59,16,9,1 : 0.39,5129.3333,1521.0000
849,10020431901001A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,น.บ.,,Admission 2,Admission2,,,150,55,15,11,1 : 0.37,16884.0400,8430.5400
850,10020431902501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,ศศ.บ. สาขาวิชาภาษาอังกฤษ,,Admission 1,Admission1,,,150,101,39,28,1 : 0.67,7041.6667,1108.3333
851,10020431902501A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,ศศ.บ. สาขาวิชาภาษาอังกฤษ,,Admission 2,Admission2,,,150,80,10,6,1 : 0.53,19309.4400,10862.0000
852,10020431903101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,รป.บ.,,Admission 1,Admission1,,,150,43,13,10,1 : 0.29,3725.0000,1437.6667
853,10020431903101A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะศิลปศาสตร์และวิทยาการจัดการ,รป.บ.,,Admission 2,Admission2,,,150,42,5,4,1 : 0.28,14213.2400,7158.3000
854,10020432112701A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะสาธารณสุขศาสตร์,ส.บ.,,Admission 1,Admission1,,,10,210,11,10,1 : 21,4916.6667,3766.6667
855,10020432112701A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะสาธารณสุขศาสตร์,ส.บ.,,Admission 2,Admission2,,,50,254,61,50,1 : 5.08,16275.4000,11262.4000
856,10020432112702A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะสาธารณสุขศาสตร์,วท.บ. สาขาวิชาอนามัยสิ่งแวดล้อม,,Admission 1,Admission1,,,10,71,29,24,1 : 7.1,4479.1667,1387.5000
857,10020432112702A,มหาวิทยาลัยเกษตรศาสตร์,เฉลิมพระเกียรติ จ.สกลนคร,คณะสาธารณสุขศาสตร์,วท.บ. สาขาวิชาอนามัยสิ่งแวดล้อม,,Admission 2,Admission2,,,50,90,23,16,1 : 1.8,14849.4000,8312.4000
858,10030102210301A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (คณิตศาสตร์) คณิตศาสตร์,,คณะวิทยาศาสตร์ คณิตศาสตร์,Admission1,,,35,148,40,35,1 : 4.23,41.8500,17.7500
859,10030102210301A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (คณิตศาสตร์) คณิตศาสตร์,,คณะวิทยาศาสตร์ คณิตศาสตร์,Admission2,,,20,314,22,20,1 : 15.7,17767.9400,15107.4400
860,10030102210302A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (คณิตศาสตร์ประยุกต์) คณิตศาสตร์ประยุกต์,,คณะวิทยาศาสตร์ คณิตศาสตร์ประยุกต์,Admission1,,,20,80,22,16,1 : 4,41.5000,13.6500
861,10030102210302A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (คณิตศาสตร์ประยุกต์) คณิตศาสตร์ประยุกต์,,คณะวิทยาศาสตร์ คณิตศาสตร์ประยุกต์,Admission2,,,20,133,23,20,1 : 6.65,16806.1000,13682.9400
862,10030102210401A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (เคมี) เคมี,,คณะวิทยาศาสตร์ เคมี,Admission1,,,80,266,86,80,1 : 3.33,37.7480,19.6250
863,10030102210401A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (เคมี) เคมี,,คณะวิทยาศาสตร์ เคมี,Admission2,,,20,718,22,20,1 : 35.9,18389.3000,16668.7000
864,10030102210501A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (จุลชีววิทยา) จุลชีววิทยา,,คณะวิทยาศาสตร์ จุลชีววิทยา,Admission1,,,20,209,20,20,1 : 10.45,31.1000,23.9500
865,10030102210501A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (จุลชีววิทยา) จุลชีววิทยา,,คณะวิทยาศาสตร์ จุลชีววิทยา,Admission2,,,15,351,16,15,1 : 23.4,18181.2400,16419.7400
866,10030102210601A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ชีวเคมี) ชีวเคมี,,คณะวิทยาศาสตร์ ชีวเคมี,Admission1,,,25,163,28,25,1 : 6.52,29.6000,19.6500
867,10030102210601A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ชีวเคมี) ชีวเคมี,,คณะวิทยาศาสตร์ ชีวเคมี,Admission2,,,15,271,19,15,1 : 18.07,17818.1400,15373.9400
868,10030102210701A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ชีววิทยา) ชีววิทยา,,คณะวิทยาศาสตร์ ชีววิทยา,Admission1,,,40,352,46,40,1 : 8.8,39.9200,22.4100
869,10030102210701A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ชีววิทยา) ชีววิทยา,,คณะวิทยาศาสตร์ ชีววิทยา,Admission2,,,40,548,50,40,1 : 13.7,18551.8000,15638.4400
870,10030102212701A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ฟิสิกส์) ฟิสิกส์,,คณะวิทยาศาสตร์ ฟิสิกส์,Admission1,,,15,108,17,15,1 : 7.2,25.1000,18.3000
871,10030102212701A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ฟิสิกส์) ฟิสิกส์,,คณะวิทยาศาสตร์ ฟิสิกส์,Admission2,,,15,252,17,15,1 : 16.8,17571.0000,14003.5000
872,10030102212801A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วัสดุศาสตร์และนาโนเทคโนโลยี) วัสดุศาสตร์และนาโนเทคโนโลยี,,คณะวิทยาศาสตร์ วัสดุศาสตร์และนาโนเทคโนโลยี,Admission1,,,25,80,25,22,1 : 3.2,29.5000,15.3000
873,10030102212801A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วัสดุศาสตร์และนาโนเทคโนโลยี) วัสดุศาสตร์และนาโนเทคโนโลยี,,คณะวิทยาศาสตร์ วัสดุศาสตร์และนาโนเทคโนโลยี,Admission2,,,10,127,10,10,1 : 12.7,15542.9000,14047.7000
874,10030102213101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วิทยาศาสตร์สิ่งแวดล้อม) วิทยาศาสตร์สิ่งแวดล้อม,,คณะวิทยาศาสตร์ วิทยาศาสตร์สิ่งแวดล้อม,Admission1,,,50,224,54,50,1 : 4.48,36.3880,19.1250
875,10030102213101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วิทยาศาสตร์สิ่งแวดล้อม) วิทยาศาสตร์สิ่งแวดล้อม,,คณะวิทยาศาสตร์ วิทยาศาสตร์สิ่งแวดล้อม,Admission2,,,20,442,25,20,1 : 22.1,16015.9400,13823.8000
876,10030102213301A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (สถิติและวิทยาการข้อมูล) สถิติศาสตร์,,คณะวิทยาศาสตร์ สถิติและวิทยาการข้อมูล สาขาวิชาเอกสถิติศาสตร์,Admission1,,,20,50,11,11,1 : 2.5,22.9880,13.2000
877,10030102213301A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (สถิติและวิทยาการข้อมูล) สถิติศาสตร์,,คณะวิทยาศาสตร์ สถิติและวิทยาการข้อมูล สาขาวิชาเอกสถิติศาสตร์,Admission2,,,10,141,10,10,1 : 14.1,17159.4000,14371.6000
878,10030102213302A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (สถิติและวิทยาการข้อมูล) สารสนเทศสถิติและวิทยาการข้อมูล,,คณะวิทยาศาสตร์ สถิติและวิทยาการข้อมูล สาขาวิชาเอกสารสนเทศสถิติและวิทยาการข้อมูล,Admission1,,,20,51,14,12,1 : 2.55,30.9750,14.4630
879,10030102213302A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (สถิติและวิทยาการข้อมูล) สารสนเทศสถิติและวิทยาการข้อมูล,,คณะวิทยาศาสตร์ สถิติและวิทยาการข้อมูล สาขาวิชาเอกสารสนเทศสถิติและวิทยาการข้อมูล,Admission2,,,10,100,11,10,1 : 10,17922.3000,13344.1000
880,10030102220101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (เทคโนโลยีสารสนเทศ) เทคโนโลยีสารสนเทศ,,คณะวิทยาศาสตร์ เทคโนโลยีสารสนเทศ,Admission1,,,15,145,15,15,1 : 9.67,27.3630,19.1750
881,10030102220101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (เทคโนโลยีสารสนเทศ) เทคโนโลยีสารสนเทศ,,คณะวิทยาศาสตร์ เทคโนโลยีสารสนเทศ,Admission2,,,15,251,17,15,1 : 16.73,17146.6400,14149.0000
882,10030102220101B,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (เทคโนโลยีสารสนเทศ) เทคโนโลยีสารสนเทศ,,คณะวิทยาศาสตร์ เทคโนโลยีสารสนเทศ (โครงการพิเศษ),Admission1,,,50,47,9,9,1 : 0.94,22.9630,13.4000
883,10030102220101B,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (เทคโนโลยีสารสนเทศ) เทคโนโลยีสารสนเทศ,,คณะวิทยาศาสตร์ เทคโนโลยีสารสนเทศ (โครงการพิเศษ),Admission2,,,10,87,11,10,1 : 8.7,13053.2400,10848.3400
884,10030102220201A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์,,คณะวิทยาศาสตร์ วิทยาการคอมพิวเตอร์,Admission1,,,40,220,42,40,1 : 5.5,38.5380,20.5130
885,10030102220201A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์,,คณะวิทยาศาสตร์ วิทยาการคอมพิวเตอร์,Admission2,,,6,387,8,6,1 : 64.5,17317.5000,15829.1400
886,10030102220201B,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์,,คณะวิทยาศาสตร์ วิทยาการคอมพิวเตอร์ (โครงการพิเศษ),Admission1,,,50,53,13,12,1 : 1.06,22.7000,15.8500
887,10030102220201B,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (วิทยาการคอมพิวเตอร์) วิทยาการคอมพิวเตอร์,,คณะวิทยาศาสตร์ วิทยาการคอมพิวเตอร์ (โครงการพิเศษ),Admission2,,,20,126,21,20,1 : 6.3,14069.0400,11403.5400
888,10030102220202A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ภูมิสารสนเทศศาสตร์) ภูมิสารสนเทศศาสตร์,,คณะวิทยาศาสตร์ ภูมิสารสนเทศศาสตร์,Admission1,,,15,98,16,15,1 : 6.53,23.8200,18.8850
889,10030102220202A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ภูมิสารสนเทศศาสตร์) ภูมิสารสนเทศศาสตร์,,คณะวิทยาศาสตร์ ภูมิสารสนเทศศาสตร์,Admission2,,,10,184,12,10,1 : 18.4,18290.3400,13363.3000
890,10030102220202B,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ภูมิสารสนเทศศาสตร์) ภูมิสารสนเทศศาสตร์,,คณะวิทยาศาสตร์ ภูมิสารสนเทศศาสตร์ (โครงการพิเศษ),Admission1,,,60,31,8,6,1 : 0.52,25.4800,16.2400
891,10030102220202B,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิทยาศาสตร์,วิทยาศาสตรบัณฑิต (ภูมิสารสนเทศศาสตร์) ภูมิสารสนเทศศาสตร์,,คณะวิทยาศาสตร์ ภูมิสารสนเทศศาสตร์ (โครงการพิเศษ),Admission2,,,10,81,11,10,1 : 8.1,13134.3000,10802.3400
892,10030103500101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เกษตรศาสตร์) เกษตรศาสตร์,เกษตรศาสตร์ วิชาเอกการส่งเสริมและพัฒนาการเกษตร แผนที่ 1,คณะเกษตรศาสตร์ เกษตรศาสตร์ วิชาเอกการส่งเสริมและพัฒนาการเกษตร แผนที่ 1,Admission1,,,40,187,38,36,1 : 4.68,30.1500,12.4000
893,10030103500101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เกษตรศาสตร์) เกษตรศาสตร์,เกษตรศาสตร์ วิชาเอกกีฏวิทยา แผนที่ 1,คณะเกษตรศาสตร์ เกษตรศาสตร์ วิชาเอกกีฏวิทยา แผนที่ 1,Admission1,,,10,59,9,9,1 : 5.9,22.8500,13.5500
894,10030103500101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เกษตรศาสตร์) เกษตรศาสตร์,เกษตรศาสตร์ วิชาเอกปฐพีศาสตร์และสิ่งแวดล้อม แผนที่ 1,คณะเกษตรศาสตร์ เกษตรศาสตร์ วิชาเอกปฐพีศาสตร์และสิ่งแวดล้อม แผนที่ 1,Admission1,,,20,88,14,13,1 : 4.4,25.6000,14.3000
895,10030103500101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เกษตรศาสตร์) เกษตรศาสตร์,เกษตรศาสตร์ วิชาเอกพืชสวน แผนที่ 1,คณะเกษตรศาสตร์ เกษตรศาสตร์ วิชาเอกพืชสวน แผนที่ 1,Admission1,,,25,106,20,19,1 : 4.24,31.4000,16.5000
896,10030103500101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เกษตรศาสตร์) เกษตรศาสตร์,เกษตรศาสตร์ วิชาเอกพืชไร่ แผนที่ 1,คณะเกษตรศาสตร์ เกษตรศาสตร์ วิชาเอกพืชไร่ แผนที่ 1,Admission1,,,35,144,21,20,1 : 4.11,31.0000,14.6000
897,10030103500101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เกษตรศาสตร์) เกษตรศาสตร์,เกษตรศาสตร์ วิชาเอกสัตวศาสตร์ แผนที่ 1,คณะเกษตรศาสตร์ เกษตรศาสตร์ วิชาเอกสัตวศาสตร์ แผนที่ 1,Admission1,,,40,248,40,40,1 : 6.2,35.2000,21.4500
898,10030103500101A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เกษตรศาสตร์) เกษตรศาสตร,เกษตรศาสตร์ วิชาเอกโรคพืชวิทยา แผนที่ 1,คณะเกษตรศาสตร์ เกษตรศาสตร์ วิชาเอกโรคพืชวิทยา แผนที่ 1,Admission1,,,10,40,5,5,1 : 4,26.7500,15.9500
899,10030103500102A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (เศรษฐศาสตร์เกษตร) เศรษฐศาสตร์เกษตร,,คณะเกษตรศาสตร์ เศรษฐศาสตร์เกษตร แผนที่ 1,Admission1,,,18,69,11,10,1 : 3.83,24.3500,16.7500
900,10030103500601A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะเกษตรศาสตร์,วิทยาศาสตรบัณฑิต (การประมง) การประมง,,คณะเกษตรศาสตร์ การประมง แผนที่ 1,Admission1,,,50,117,24,20,1 : 2.34,26.8500,14.5500
901,10030104300401A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิศวกรรมศาสตร์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเกษตร) วิศวกรรมเกษตร,,คณะวิศวกรรมศาสตร์ วิศวกรรมเกษตร,Admission1,,,8,75,8,8,1 : 9.38,28.5000,22.2830
902,10030104300401A,มหาวิทยาลัยขอนแก่น,ขอนแก่น,คณะวิศวกรรมศาสตร์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเกษตร) วิศวกรรมเกษตร,,คณะวิศวกรรมศาสตร์ วิศวกรรมเกษตร,Admission2,,,8,117,9,8,1 : 14.63,15607.8900,14961.5000
