ลำดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,รหัสรับร่วม,รับ,สมัคร,ผ่าน,ยืนยันสิทธิ์,อัตราการแข่งขัน,คะแนนสูงสุด,คะแนนต่ำสุด
17,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเกาหลี,Admission1,,2231,249,516,44,44,1 : 2.07,83.1250,71.1875
18,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาเยอรมัน,Admission1,,2231,249,108,22,22,1 : 0.43,85.7500,71.7500
19,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาจีน,Admission1,,2231,249,629,38,37,1 : 2.53,85.3125,70.9375
20,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาญี่ปุ่น,Admission1,,2231,249,474,61,59,1 : 1.9,83.7500,71.0000
21,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาบาลี,Admission1,,2231,249,271,33,33,1 : 1.09,83.6250,71.0000
22,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาฝรั่งเศส,Admission1,,2231,249,350,55,55,1 : 1.41,87.0000,70.9375
23,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,สาขาวิชาอักษรศาสตร์ เลือกสอบวิชาภาษาอาหรับ,Admission1,,2231,249,19,0,0,1 : 0.08,0.0000,0.0000
24,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร์,คณะอักษรศาสตร์ สาขาวิชาอักษรศาสตร์ พื้นฐานวิทยาศาสตร์,Admission2,,,20,710,24,20,1 : 35.5,27951.0000,23097.0000
25,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,ภูมิศาสตร์และภูมิสารสนเทศ,พื้นฐานวิทยาศาสตร์,Admission2,,,5,134,6,5,1 : 26.8,21705.6000,20792.4000
26,10010122904301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร์,หลักสูตรอักษรศาสตรบัณฑิต,สารสนเทศศึกษา,พื้นฐานวิทยาศาสตร์,Admission2,,,10,99,10,10,1 : 9.9,22265.0400,20434.5000
27,10010123210301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์,,,Admission1,,,19,80,6,5,1 : 4.21,46.0753,40.1667
28,10010123210301A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์,,,Admission2,,,35,206,40,35,1 : 5.89,21138.7000,16890.8000
29,10010123210401A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี,,,Admission1,,,65,149,12,12,1 : 2.29,52.0667,40.4920
30,10010123210401A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี,,,Admission2,,,94,845,113,94,1 : 8.99,21564.8000,17408.9000
31,10010123210402A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมีวิศวกรรม,เคมีวิศวกรรม,,Admission1,,,59,140,17,15,1 : 2.37,51.6000,41.7587
32,10010123210402A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมีวิศวกรรม,เคมีวิศวกรรม,,Admission2,,,70,565,80,70,1 : 8.07,23331.9400,17625.5000
33,10010123210501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจุลชีววิทยา,,,Admission1,,,30,134,4,4,1 : 4.47,45.4333,40.2253
34,10010123210501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจุลชีววิทยา,,,Admission2,,,41,599,50,41,1 : 14.61,19305.5400,17566.8400
35,10010123210601A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีวเคมี,,,Admission1,,,27,90,10,9,1 : 3.33,52.9833,40.1667
36,10010123210601A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีวเคมี,,,Admission2,,,41,450,47,41,1 : 10.98,21536.2400,17825.8000
37,10010123210701A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา,,,Admission1,,,27,138,14,14,1 : 5.11,85.8667,40.7253
38,10010123210701A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา,,,Admission2,,,35,553,46,35,1 : 15.8,21524.1000,18007.4000
39,10010123210901A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีภาพและการพิมพ์,,,Admission1,,,33,39,1,0,1 : 1.18,0.0000,0.0000
40,10010123210901A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีภาพและการพิมพ์,,,Admission2,,,35,241,44,35,1 : 6.89,20008.1400,15257.0000
41,10010123211001A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีทางอาหาร,เทคโนโลยีการอาหาร,,Admission1,,,50,180,20,19,1 : 3.6,52.0000,41.2333
