programCode,university,facultyName,program,majorName,detail,weightsYear,estMinScore,tgat,tgat1,tgat2,tgat3,tpat1,tpat11,tpat12,tpat13,tpat2,tpat21,tpat22,tpat23,tpat3,tpat4,tpat5,a_lv_61,a_lv_62,a_lv_63,a_lv_64,a_lv_65,a_lv_66,a_lv_70,a_lv_81,a_lv_82,a_lv_83,a_lv_84,a_lv_85,a_lv_86,a_lv_87,a_lv_88,a_lv_89
50310126120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์  มหาวิทยาลัยศรีนครินทรวิโรฒ,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยศรีนครินทรวิโรฒ,ภาษาไทย,,2569,67.1872,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310125120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์  มหาวิทยาลัยสงขลานครินทร์,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยสงขลานครินทร์,ภาษาไทย,,2569,65.1893,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310122120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรทันตแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย,,2569,73.3284,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310137120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยกรุงเทพธนบุรี (สถาบันเอกชน),ทันตแพทยศาสตรบัณฑิต,ภาษาไทย,,2568,48.0318,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310127120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยขอนแก่น,ภาษาไทย,,2569,66.4329,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310124120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2569,67.0786,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310128120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยธรรมศาสตร์,ภาษาไทย,,2569,68.544,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310129120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยนเรศวร,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยนเรศวร,ภาษาไทย,,2569,63.8121,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310131120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเนชั่น (สถาบันเอกชน),หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเนชั่น (สถาบันเอกชน),ภาษาไทย,,2569,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310123120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยมหิดล,ภาษาไทย,,2569,69.6262,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310132120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),ภาษาไทย,,2569,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310138120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะทันตแพทยศาสตร์ มหาวิทยาลัยสยาม (สถาบันเอกชน),ทันตแพทยศาสตรบัณฑิต,ภาษาไทย,,2568,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310102100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย,,2569,77.0474,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310103100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย – กรมแพทย์ทหารอากาศ กองทัพอากาศ,หลักสูตรแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย - กรมแพทย์ทหารอากาศ,ภาษาไทย,,2569,72.369,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310124100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,แพทยศาสตรบัณฑิต,ภาษาไทย,,2569,66.7406,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310101100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยขอนแก่น,ภาษาไทย,,2569,69.4689,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310104100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2569,69.204,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310105100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยธรรมศาสตร์,ภาษาไทย,,2569,71.1799,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310106100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยนเรศวร,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยนเรศวร,ภาษาไทย,,2569,65.8977,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310122100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น (สถาบันเอกชน),แพทยศาสตรบัณฑิต,ภาษาไทย,,2569,51.8257,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310112100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยศรีนครินทรวิโรฒ,ภาษาไทย,,2569,66.9031,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310113100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยสงขลานครินทร์,ภาษาไทย,,2569,66.4131,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310121100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ มหาวิทยาลัยสยาม  (สถาบันเอกชน),หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยสยาม (สถาบันเอกชน),ภาษาไทย,,2569,53.4022,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310119100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์มหาวิทยาลัยบูรพา,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยบูรพา,ภาษาไทย,,2569,64.0987,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310107100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี  มหาวิทยาลัยมหิดล,หลักสูตรแพทยศาสตรบัณฑิต โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,ภาษาไทย,,2569,73.0733,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310114100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์วชิรพยาบาล  มหาวิทยาลัยนวมินทราธิราช,หลักสูตรแพทยศาสตรบัณฑิต วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,ภาษาไทย,,2569,70.5082,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310115100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์วชิรพยาบาล  มหาวิทยาลัยนวมินทราธิราช-โรงพยาบาลตากสิน สำนักการแพทย์กรุงเทพมหานคร,หลักสูตรแพทยศาสตรบัณฑิต วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช-โรงพยาบาลตากสิน สำนักการแพทย์กรุงเทพมหานคร,ภาษาไทย,,2569,69.8944,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310108100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะแพทยศาสตร์ศิริราชพยาบาล  มหาวิทยาลัยมหิดล,หลักสูตรแพทยศาสตรบัณฑิต ศิริราชพยาบาล มหาวิทยาลัยมหิดล,ภาษาไทย,,2569,74.2654,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310146130301A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย (สาขาวิชาการบริบาลทางเภสัชกรรม),หลักสูตรเภสัชศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย (สาขาวิชาการบริบาลทางเภสัชกรรม),ภาษาไทย,,2568,63.7914,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310147130201A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย (สาขาวิชาเภสัชกรรมอุตสาหการ),หลักสูตรเภสัชศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย (สาขาวิชาเภสัชกรรมอุตสาหการ),ภาษาไทย,,2568,62.6217,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310166130101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยขอนแก่น (หลักสูตรไทย),เภสัชศาสตรบัณฑิต (ภ.บ.),ภาษาไทย,,2568,61.2564,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310149130101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2568,59.344,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310152130101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยธรรมศาสตร์,หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยธรรมศาสตร์,ภาษาไทย,,2568,61.6157,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310154130101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยบูรพา,หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยบูรพา,ภาษาไทย,,2568,55.0512,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310157130301A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยพายัพ (สถาบันเอกชน)  (สาขาวิชาการบริบาลทางเภสัชกรรม),หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยพายัพ (สาขาวิชาการบริบาลทางเภสัชกรรม) (สถาบันเอกชน),ภาษาไทย,,2568,45.7578,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310153130301A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยมหาสารคาม (สาขาวิชาการบริบาลทางเภสัชกรรม),หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยมหาสารคาม (สาขาวิชาการบริบาลทางเภสัชกรรม),ภาษาไทย,,2568,57.1997,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310148130101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล,หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยมหิดล,ภาษาไทย,,2568,62.6189,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310150130301A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ (สาขาวิชาการบริบาลทางเภสัชกรรม),หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยศรีนครินทรวิโรฒ (สาขาวิชาการบริบาลทางเภสัชกรรม),ภาษาไทย,,2568,59.7327,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310151130201A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ (สาขาวิชาเภสัชกรรมอุตสาหการ),หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยศรีนครินทรวิโรฒ (สาขาวิชาเภสัชกรรมอุตสาหการ),ภาษาไทย,,2568,59.0178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310168130101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยศิลปากร,เภสัชศาสตรบัณฑิต (ภ.บ.),ภาษาไทย,,2568,61.3991,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310161130301A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยสงขลานครินทร์ (สาขาวิชาการบริบาลทางเภสัชกรรม),เภสัชศาสตรบัณฑิต (ภ.บ.),ภาษาไทย,,2568,60.6308,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310160130201A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยสงขลานครินทร์ (สาขาวิชาเภสัชกรรมอุตสาหการ),เภสัชศาสตรบัณฑิต (ภ.บ.),ภาษาไทย,,2568,58.555,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310155130301A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยสยาม (สถาบันเอกชน) (สาขาวิชาการบริบาลทางเภสัชกรรม),หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยสยาม (สาขาวิชาการบริบาลทางเภสัชกรรม) (สถาบันเอกชน),ภาษาไทย,,2568,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310156130101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ (สถาบันเอกชน),หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ (สถาบันเอกชน),ภาษาไทย,,2568,50.9817,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310158130301A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยอุบลราชธานี (สาขาวิชาการบริบาลทางเภสัชกรรม),หลักสูตรเภสัชศาสตรบัณฑิต มหาวิทยาลัยอุบลราชธานี (สาขาวิชาการบริบาลทางเภสัชกรรม),ภาษาไทย,,2568,58.1538,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310163130201A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะเภสัชศาสตร์ มหาวิทยาลัยอุบลราชธานี (สาขาวิชาเภสัชกรรมอุตสาหการ),เภสัชศาสตรบัณฑิต (ภ.บ.),ภาษาไทย,,2568,56.5977,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310134140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หลักสูตรสัตวแพทยศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย,,2569,59.2199,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310135140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยเกษตรศาสตร์,ภาษาไทย,,2569,55.8918,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310136140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยขอนแก่น,ภาษาไทย,,2569,53.2912,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310137140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยเชียงใหม่,ภาษาไทย,,2569,50.6368,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310140140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีมหานคร    (สถาบันเอกชน),หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยเทคโนโลยีมหานคร (สถาบันเอกชน),ภาษาไทย,,2569,50.1046,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310142140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,ภาษาไทย,,2568,53.2912,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310143140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,ภาษาไทย,,2568,50.6368,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310141140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยมหาสารคาม,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยมหาสารคาม,ภาษาไทย,,2568,55.8918,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310138140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยมหิดล,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยมหิดล,ภาษาไทย,,2569,57.2286,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310139140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยมหิดล – วิทยาลัยวิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์  ราชวิทยาลัยจุฬาภรณ์,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยมหิดล - วิทยาลัยวิทยาศาสตร์การแพทย์เจ้าฟ้าจุฬาภรณ์ ราชวิทยาลัยจุฬาภรณ์,ภาษาไทย,,2569,59.081,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310145140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยเวสเทิร์น,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยเวสเทิร์น,ภาษาไทย,,2569,50.1046,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310144140101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,คณะสัตวแพทยศาสตร์ มหาวิทยาลัยสงขลานครินทร์,หลักสูตรสัตวแพทยศาสตรบัณฑิต มหาวิทยาลัยสงขลานครินทร์,ภาษาไทย,,2568,57.2286,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310133120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,วิทยาลัยทันตแพทยศาสตร์ มหาวิทยาลัยรังสิต (สถาบันเอกชน),หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยรังสิต (สถาบันเอกชน),ภาษาไทย,,2568,34.8178,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310111100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,วิทยาลัยแพทยศาสตร์ มหาวิทยาลัยรังสิต (โรงพยาบาลนพรัตนราชธานี) (สถาบันเอกชน),หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยรังสิต (โรงพยาบาลนพรัตนราชธานี) (สถาบันเอกชน),ภาษาไทย,,2569,57.898,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310109100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,วิทยาลัยแพทยศาสตร์ มหาวิทยาลัยรังสิต (โรงพยาบาลราชวิถี) (สถาบันเอกชน),หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยรังสิต (โรงพยาบาลราชวิถี) (สถาบันเอกชน),ภาษาไทย,,2569,60.1086,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310110100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,วิทยาลัยแพทยศาสตร์ มหาวิทยาลัยรังสิต (โรงพยาบาลเลิดสิน) (สถาบันเอกชน),หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยรังสิต (โรงพยาบาลเลิดสิน) (สถาบันเอกชน),ภาษาไทย,,2569,59.0532,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310116100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า** เพศชาย,หลักสูตรแพทยศาสตรบัณฑิต พระมงกุฎเกล้า (ชาย),ภาษาไทย,,2569,64.5848,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310117100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า** เพศหญิง,หลักสูตรแพทยศาสตรบัณฑิต พระมงกุฎเกล้า (หญิง),ภาษาไทย,,2569,65.7376,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310123100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,วิทยาลัยแพทยศาสตร์ศรีสวางควัฒน ราชวิทยาลัยจุฬาภรณ์,แพทยศาสตรบัณฑิต,ภาษาไทย,,2569,69.1122,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310130120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,สำนักวิชาทันตแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีสุรนารี,หลักสูตรทันตแพทยศาสตรบัณฑิต มหาวิทยาลัยเทคโนโลยีสุรนารี,ภาษาไทย,,2569,61.8579,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310139120101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,สำนักวิชาทันตแพทยศาสตร์ มหาวิทยาลัยแม่ฟ้าหลวง,ทันตแพทยศาสตรบัณฑิต,ภาษาไทย,,2568,62.1655,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310118100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,สำนักวิชาแพทยศาสตร์ มหาวิทยาลัยเทคโนโลยีสุรนารี,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยเทคโนโลยีสุรนารี,ภาษาไทย,,2569,65.3213,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
50310120100101A,กลุ่มสถาบันแพทยศาสตร์แห่งประเทศไทย,สำนักวิชาแพทยศาสตร์ มหาวิทยาลัยแม่ฟ้าหลวง,หลักสูตรแพทยศาสตรบัณฑิต มหาวิทยาลัยแม่ฟ้าหลวง,ภาษาไทย,,2569,64.8259,,,,,,10,10,10,,,,,,,,14,,,,,,7,7,14,,,,,,,
10010127703701A,จุฬาลงกรณ์มหาวิทยาลัย,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,จิตวิทยาการปรึกษา การแนะแนวและการศึกษาพิเศษ,วิชาเอกจิตวิทยาการปรึกษาและแนะแนว เลือกสอบวิชาคณิตศาสตร์ 1,2569,74.3337,20,,,,,,,,,,,,,,30,,,,,,,,25,25,,,,,,,
10010127703701A,จุฬาลงกรณ์มหาวิทยาลัย,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,ศิลปศึกษา,สาขาวิชาศิลปศึกษา วิชาเอกศิลปศึกษา,2569,74.3337,20,,,,,,,,,,,,,,30,,,,,,,,25,25,,,,,,,
